iter	Passed	Remaining
852	1266	218
853	1267	216
854	1268	215
855	1269	213
856	1271	212
857	1272	210
858	1274	209
859	1274	207
860	1275	205
861	1277	204
862	1279	203
863	1280	201
864	1281	199
865	1284	198
866	1285	197
867	1286	195
868	1287	194
869	1288	192
870	1290	191
871	1291	189
872	1291	187
873	1293	186
874	1294	184
875	1296	183
876	1297	182
877	1298	180
878	1299	178
879	1300	177
880	1302	175
881	1304	174
882	1305	173
883	1307	171
884	1308	170
885	1309	168
886	1311	167
887	1312	165
888	1313	164
889	1315	162
890	1316	161
891	1317	159
892	1318	157
893	1319	156
894	1321	154
895	1322	153
896	1322	151
897	1323	150
898	1324	148
899	1326	147
900	1328	145
901	1329	144
902	1330	142
903	1330	141
904	1331	139
905	1339	139
906	1341	137
907	1342	136
908	1343	134
909	1344	132
910	1345	131
911	1346	129
912	1348	128
913	1349	126
914	1349	125
915	1350	123
916	1352	122
917	1354	120
918	1355	119
919	1359	118
920	1362	116
921	1362	115
922	1364	113
923	1366	112
924	1367	110
925	1368	109
926	1370	107
927	1371	106
928	1372	104
929	1373	103
930	1374	101
931	1375	100
932	1376	98
933	1377	97
934	1378	95
935	1379	94
936	1380	92
937	1381	91
938	1381	89
939	1383	88
940	1385	86
941	1385	85
942	1386	83
943	1387	82
944	1388	80
945	1390	79
946	1391	77
947	1392	76
948	1393	74
949	1394	73
950	1395	71
951	1396	70
952	1397	68
953	1398	67
954	1399	65
955	1400	64
956	1401	62
957	1402	61
958	1403	59
959	1404	58
960	1405	57
961	1405	55
962	1406	54
963	1408	52
964	1409	51
965	1410	49
966	1411	48
967	1411	46
968	1412	45
969	1413	43
970	1415	42
971	1416	40
972	1417	39
973	1418	37
974	1418	36
975	1419	34
976	1420	33
977	1421	31
978	1422	30
979	1423	29
980	1424	27
981	1426	26
982	1428	24
983	1429	23
984	1430	21
985	1431	20
986	1431	18
987	1432	17
988	1433	15
989	1434	14
990	1436	13
991	1436	11
992	1437	10
993	1438	8
994	1440	7
995	1441	5
996	1442	4
997	1442	2
998	1443	1
999	1444	0
